R,I
-5.559298808,0.295447251
-5.383552696,1.732894365
-5.031917701,2.462169766
-4.50227467,2.959105624
-4.065631981,2.622295845
-3.762522135,1.895965989
-3.271997329,1.226356115
-3.165247862,1.009833496
-3.328810023,1.339726695
-2.388480864,2.124953768
-1.955772377,2.968114201
-0.883949767,4.779216032
-0.570105891,4.449186653
-0.101162902,4.064094528
