lat,lev,amp_t,phase_t,amp_e,phase_e,amp_n,phase_n
84,77.323,0.11,21.2,0.42,2.3,0.91,18.5
78,77.323,0.29,23,0.79,3.5,1.17,20.3
72,77.323,0.67,23.3,1.57,2.9,1.63,20.9
66,77.323,1.56,23,3.66,2.3,2.46,20.7
60,77.323,3.53,22.9,8.07,2.4,4,20.4
54,77.323,7.07,23,15.46,2.5,6.24,20.4
48,77.323,12.81,22.9,27.21,2.4,8.86,20.4
42,77.323,22.16,22.8,46.77,2.3,11.88,20.4
36,77.323,35.41,22.8,74.32,2.3,14.98,20.3
30,77.323,52.88,22.7,110.44,2.2,17.34,20.3
24,77.323,73.64,22.7,153.69,2.2,18.27,20.3
18,77.323,95.38,22.6,198.87,2.2,17.05,20.3
12,77.323,114.91,22.6,239.53,2.1,13.31,20.3
6,77.323,128.53,22.6,267.97,2.1,7.33,20.3
0,77.323,133.44,22.6,278.16,2.1,0,19.6
-6,77.323,128.53,22.6,267.97,2.1,7.33,8.3
-12,77.323,114.91,22.6,239.53,2.1,13.31,8.3
-18,77.323,95.38,22.6,198.87,2.2,17.05,8.3
-24,77.323,73.64,22.7,153.69,2.2,18.27,8.3
-30,77.323,52.88,22.7,110.44,2.2,17.34,8.3
-36,77.323,35.41,22.8,74.32,2.3,14.98,8.3
-42,77.323,22.16,22.8,46.77,2.3,11.88,8.4
-48,77.323,12.81,22.9,27.21,2.4,8.86,8.4
-54,77.323,7.07,23,15.46,2.5,6.24,8.4
-60,77.323,3.53,22.9,8.07,2.4,4,8.4
-66,77.323,1.56,23,3.66,2.3,2.46,8.7
-72,77.323,0.67,23.3,1.57,2.9,1.63,8.9
-78,77.323,0.29,23,0.79,3.5,1.17,8.3
-84,77.323,0.11,21.2,0.42,2.3,0.91,6.5
84,81.382,0.15,19.8,0.59,0.6,1.26,16.8
78,81.382,0.41,21.6,1.11,1.7,1.63,18.6
72,81.382,0.93,21.8,2.19,1.1,2.26,19.1
66,81.382,2.2,21.5,5.19,0.5,3.44,18.9
60,81.382,4.98,21.5,11.41,0.6,5.61,18.7
54,81.382,9.92,21.5,21.75,0.7,8.71,18.7
48,81.382,17.98,21.4,38.33,0.6,12.35,18.7
42,81.382,31.03,21.4,65.81,0.5,16.56,18.6
36,81.382,49.51,21.3,104.26,0.5,20.87,18.6
30,81.382,73.86,21.3,154.81,0.4,24.17,18.5
24,81.382,102.75,21.2,215.14,0.3,25.49,18.5
18,81.382,133,21.2,278.13,0.3,23.81,18.5
12,81.382,160.14,21.1,334.82,0.3,18.59,18.4
6,81.382,179.06,21.1,374.41,0.3,10.24,18.4
0,81.382,185.88,21.1,388.62,0.3,0,16.5
-6,81.382,179.06,21.1,374.41,0.3,10.24,6.4
-12,81.382,160.14,21.1,334.82,0.3,18.59,6.4
-18,81.382,133,21.2,278.13,0.3,23.81,6.5
-24,81.382,102.75,21.2,215.14,0.3,25.49,6.5
-30,81.382,73.86,21.3,154.81,0.4,24.17,6.5
-36,81.382,49.51,21.3,104.26,0.5,20.87,6.6
